fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,1,1,1,1,1,88.6,168.8,64.1,48.8,2548,1,1,130,1,1,1,1,111,5000,21,27,1
1,1,1,1,1,1,88.6,168.8,64.1,48.8,2548,1,1,130,1,1,1,1,111,5000,21,27,2
1,1,1,2,1,1,94.5,171.2,65.5,52.4,2823,2,2,152,1,2,2,1,154,5000,19,26,2
1,1,2,3,2,1,99.8,176.6,66.2,54.3,2337,3,1,109,1,3,3,2,102,5500,24,30,3
1,1,2,3,3,1,99.4,176.6,66.4,54.3,2824,3,3,136,1,3,3,3,115,5500,18,22,4
1,1,1,3,2,1,99.8,177.3,66.3,53.1,2507,3,3,136,1,3,3,4,110,5500,19,25,5
1,1,2,3,2,1,105.8,192.7,71.4,55.7,2844,3,3,136,1,3,3,4,110,5500,19,25,6
1,1,2,4,2,1,105.8,192.7,71.4,55.7,2954,3,3,136,1,3,3,4,110,5500,19,25,7
1,2,2,3,2,1,105.8,192.7,71.4,55.9,3086,3,3,131,1,4,3,5,140,5500,17,20,8
1,2,1,2,3,1,99.5,178.2,67.9,52.0,3053,3,3,131,1,4,3,6,160,5500,16,22,9
1,1,1,3,1,1,101.2,176.8,64.8,54.3,2395,3,1,108,1,5,4,7,101,5800,23,29,10
1,1,2,3,1,1,101.2,176.8,64.8,54.3,2395,3,1,108,1,5,4,7,101,5800,23,29,11
1,1,1,3,1,1,101.2,176.8,64.8,54.3,2710,3,2,164,1,6,5,1,121,4250,21,28,12
1,1,2,3,1,1,101.2,176.8,64.8,54.3,2765,3,2,164,1,6,5,1,121,4250,21,28,13
1,1,2,3,1,1,103.5,189.0,66.9,55.7,3055,3,2,164,1,6,5,1,121,4250,20,25,14
1,1,2,3,1,1,103.5,189.0,66.9,55.7,3230,3,2,209,1,7,6,3,182,5400,16,22,15
1,1,1,3,1,1,103.5,193.8,67.9,53.7,3380,3,2,209,1,7,6,3,182,5400,16,22,16
1,1,2,3,1,1,110.0,197.0,70.9,56.3,3505,3,2,209,1,7,6,3,182,5400,15,20,17
1,1,1,2,2,1,88.4,141.1,60.3,53.2,1488,4,4,61,2,8,7,8,48,5100,47,53,18
1,1,1,2,2,1,94.5,155.9,63.6,52.0,1874,3,1,90,2,9,8,9,70,5400,38,43,19
1,1,2,3,2,1,94.5,158.8,63.6,52.0,1909,3,1,90,2,9,8,9,70,5400,38,43,20
1,1,1,2,2,1,93.7,157.3,63.8,50.8,1876,3,1,90,2,10,9,10,68,5500,37,41,21
1,1,1,2,2,1,93.7,157.3,63.8,50.8,1876,3,1,90,2,10,9,11,68,5500,31,38,22
1,2,1,2,2,1,93.7,157.3,63.8,50.8,2128,3,1,98,1,9,6,12,102,5500,24,30,23
1,1,2,2,2,1,93.7,157.3,63.8,50.6,1967,3,1,90,2,10,9,11,68,5500,31,38,24
1,1,2,3,2,1,93.7,157.3,63.8,50.6,1989,3,1,90,2,10,9,11,68,5500,31,38,25
1,1,2,3,2,1,93.7,157.3,63.8,50.6,1989,3,1,90,2,10,9,11,68,5500,31,38,26
1,2,1,3,2,1,93.7,157.3,63.8,50.6,2191,3,1,98,1,9,6,12,102,5500,24,30,27
1,1,2,4,2,1,103.3,174.6,64.6,59.8,2535,3,1,122,2,11,10,4,88,5000,24,30,28
1,2,1,2,2,1,95.9,173.2,66.3,50.2,2811,3,1,156,3,12,11,6,145,5000,19,24,29
1,1,1,2,2,1,86.6,144.6,63.9,50.8,1713,3,1,92,4,8,12,9,58,4800,49,54,30
1,1,1,2,2,1,86.6,144.6,63.9,50.8,1819,3,1,92,4,8,12,13,76,6000,31,38,31
1,1,1,2,2,1,93.7,150.0,64.0,52.6,1837,3,1,79,4,8,13,14,60,5500,38,42,32
1,1,1,2,2,1,93.7,150.0,64.0,52.6,1940,3,1,92,4,8,12,13,76,6000,30,34,33
1,1,1,2,2,1,93.7,150.0,64.0,52.6,1956,3,1,92,4,8,12,13,76,6000,30,34,34
1,1,2,3,2,1,96.5,163.4,64.0,54.5,2010,3,1,92,4,8,12,13,76,6000,30,34,35
