Conjuge,Dependentes,TelefoneFixo,SegurancaOnline,BackupOnline,SeguroNoDispositivo,SuporteTecnico,TVaCabo,StreamingDeFilmes,PagamentoOnline,Maior65Anos,MesesDeContrato,ContaMensal,VariasLinhasTelefonicas_Nao,VariasLinhasTelefonicas_SemServicoTelefonico,VariasLinhasTelefonicas_Sim,ServicoDeInternet_DSL,ServicoDeInternet_FibraOptica,ServicoDeInternet_Nao,TipoDeContrato_DoisAnos,TipoDeContrato_Mensalmente,TipoDeContrato_UmAno,FormaDePagamento_CartaoDeCredito,FormaDePagamento_ChequeDigital,FormaDePagamento_ChequePapel,FormaDePagamento_DebitoEmConta,Churn
1,0,0,0,1,0,0,0,0,1,0,1,29.85,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,1,0,1,0,0,0,0,0,34,56.95,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,1,1,1,0,0,0,0,1,0,2,53.85,1,0,0,1,0,0,0,1,0,0,0,1,0,1
0,0,0,1,0,1,1,0,0,0,0,45,42.3,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,2,70.7,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,1,0,1,1,1,0,8,99.65,0,0,1,0,1,0,0,1,0,0,1,0,0,1
0,1,1,0,1,0,0,1,0,1,0,22,89.1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,10,29.75,0,1,0,1,0,0,0,1,0,0,0,1,0,0
1,0,1,0,0,1,1,1,1,1,0,28,104.8,0,0,1,0,1,0,0,1,0,0,1,0,0,1
0,1,1,1,1,0,0,0,0,0,0,62,56.15,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,1,1,0,0,0,0,0,1,0,13,49.95,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,16,18.95,1,0,0,0,0,1,1,0,0,1,0,0,0,0
1,0,1,0,0,1,0,1,1,0,0,58,100.35,0,0,1,0,1,0,0,0,1,1,0,0,0,0
0,0,1,0,1,1,0,1,1,1,0,49,103.7,0,0,1,0,1,0,0,1,0,0,0,0,1,1
0,0,1,1,0,1,1,1,1,1,0,25,105.5,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,0,0,69,113.25,0,0,1,0,1,0,1,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,52,20.65,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,1,1,1,0,1,0,1,1,0,0,71,106.7,0,0,1,0,1,0,1,0,0,0,0,0,1,0
1,1,1,0,0,1,1,0,0,0,0,10,55.2,1,0,0,1,0,0,0,1,0,1,0,0,0,1
0,0,1,0,1,1,0,0,1,1,0,21,90.05,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,1,1,1,1,39.65,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1,0,1,0,0,0,0,0,0,0,0,12,19.8,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,1,20.15,1,0,0,0,0,1,0,1,0,0,0,1,0,1
1,0,1,0,1,0,1,0,0,1,0,58,59.9,0,0,1,1,0,0,1,0,0,1,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0,49,59.6,1,0,0,1,0,0,0,1,0,1,0,0,0,0
0,0,1,1,1,0,0,0,0,1,0,30,55.3,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,1,1,1,0,47,99.35,0,0,1,0,1,0,0,1,0,0,1,0,0,1
